%Cavity1 Size=	0,000000E+0	mm
%f	alpha	Re(R)	Im(R)	Re(Zs/Zo)	Im(Zs/Zo)
2,125000E+2	1,317816E-1	8,243078E-1	-4,344365E-1	6,000906E-1	-3,956566E+0
2,140625E+2	1,331003E-1	8,218712E-1	-4,375243E-1	5,964413E-1	-3,921217E+0
2,156250E+2	1,392984E-1	8,174165E-1	-4,387846E-1	6,167231E-1	-3,885308E+0
2,171875E+2	1,409506E-1	8,155460E-1	-4,403796E-1	6,183196E-1	-3,863700E+0
2,187500E+2	1,447528E-1	8,121172E-1	-4,423944E-1	6,266011E-1	-3,830043E+0
2,203125E+2	1,441803E-1	8,103234E-1	-4,463134E-1	6,130822E-1	-3,795620E+0
2,218750E+2	1,422234E-1	8,100777E-1	-4,489440E-1	5,985299E-1	-3,778653E+0
2,234375E+2	1,388359E-1	8,090553E-1	-4,545257E-1	5,712154E-1	-3,740129E+0
2,250000E+2	1,500685E-1	8,019695E-1	-4,547267E-1	6,100535E-1	-3,697079E+0
2,265625E+2	1,531153E-1	7,995976E-1	-4,555529E-1	6,181743E-1	-3,678418E+0
2,281250E+2	1,548903E-1	7,985154E-1	-4,555029E-1	6,243588E-1	-3,672241E+0
2,296875E+2	1,562053E-1	7,951976E-1	-4,598429E-1	6,164387E-1	-3,629390E+0
2,312500E+2	1,559903E-1	7,934448E-1	-4,630930E-1	6,066823E-1	-3,602152E+0
2,328125E+2	1,565035E-1	7,925936E-1	-4,639956E-1	6,058765E-1	-3,592558E+0
2,343750E+2	1,559818E-1	7,901407E-1	-4,687173E-1	5,914296E-1	-3,554432E+0
2,359375E+2	1,555765E-1	7,892392E-1	-4,706644E-1	5,849947E-1	-3,539561E+0
2,375000E+2	1,617952E-1	7,850298E-1	-4,710977E-1	6,033865E-1	-3,513751E+0
2,390625E+2	1,627735E-1	7,826662E-1	-4,739832E-1	5,986652E-1	-3,486528E+0
2,406250E+2	1,663247E-1	7,800239E-1	-4,745923E-1	6,078513E-1	-3,468895E+0
2,421875E+2	1,672913E-1	7,772225E-1	-4,781567E-1	6,011972E-1	-3,436717E+0
2,437500E+2	1,670928E-1	7,775148E-1	-4,778891E-1	6,013178E-1	-3,439565E+0
2,453125E+2	1,712957E-1	7,709664E-1	-4,840612E-1	5,973243E-1	-3,375935E+0
2,468750E+2	1,707118E-1	7,705040E-1	-4,853985E-1	5,921734E-1	-3,367547E+0
2,484375E+2	1,688776E-1	7,695477E-1	-4,887932E-1	5,782943E-1	-3,347588E+0
2,500000E+2	1,701889E-1	7,677215E-1	-4,903212E-1	5,781497E-1	-3,331346E+0
2,515625E+2	1,767741E-1	7,633812E-1	-4,903825E-1	5,962762E-1	-3,308215E+0
2,531250E+2	1,773855E-1	7,604487E-1	-4,942997E-1	5,879201E-1	-3,276578E+0
2,546875E+2	1,769152E-1	7,596605E-1	-4,959846E-1	5,824104E-1	-3,265594E+0
2,562500E+2	1,816219E-1	7,544612E-1	-4,991657E-1	5,869075E-1	-3,226088E+0
2,578125E+2	1,813427E-1	7,550012E-1	-4,986286E-1	5,875257E-1	-3,230978E+0
2,593750E+2	1,846786E-1	7,517777E-1	-5,001517E-1	5,923627E-1	-3,208507E+0
2,609375E+2	1,869446E-1	7,472645E-1	-5,046298E-1	5,869045E-1	-3,168527E+0
2,625000E+2	1,870682E-1	7,468065E-1	-5,051850E-1	5,858352E-1	-3,164142E+0
2,640625E+2	1,854633E-1	7,451197E-1	-5,092478E-1	5,718929E-1	-3,140623E+0
2,656250E+2	1,890256E-1	7,418223E-1	-5,105625E-1	5,774777E-1	-3,119560E+0
2,671875E+2	1,938926E-1	7,377871E-1	-5,116420E-1	5,866057E-1	-3,095859E+0
2,687500E+2	1,940030E-1	7,359075E-1	-5,142345E-1	5,805310E-1	-3,077572E+0
2,703125E+2	1,913425E-1	7,364837E-1	-5,159934E-1	5,699975E-1	-3,074225E+0
2,718750E+2	1,953626E-1	7,311032E-1	-5,197360E-1	5,705166E-1	-3,035566E+0
2,734375E+2	1,982063E-1	7,296334E-1	-5,190652E-1	5,786594E-1	-3,030801E+0
2,750000E+2	1,988267E-1	7,268135E-1	-5,224131E-1	5,720869E-1	-3,006293E+0
2,765625E+2	1,994706E-1	7,247017E-1	-5,247255E-1	5,680884E-1	-2,988816E+0
2,781250E+2	2,002777E-1	7,226865E-1	-5,267319E-1	5,651985E-1	-2,972953E+0
2,796875E+2	2,032803E-1	7,190783E-1	-5,288157E-1	5,669305E-1	-2,949638E+0
2,812500E+2	2,052597E-1	7,175304E-1	-5,290467E-1	5,706740E-1	-2,941768E+0
2,828125E+2	2,070325E-1	7,147293E-1	-5,311587E-1	5,695389E-1	-2,922397E+0
2,843750E+2	2,082080E-1	7,131589E-1	-5,321621E-1	5,696926E-1	-2,912172E+0
2,859375E+2	2,065212E-1	7,121124E-1	-5,351400E-1	5,592929E-1	-2,898492E+0
2,875000E+2	2,094965E-1	7,080315E-1	-5,377684E-1	5,594922E-1	-2,872384E+0
2,890625E+2	2,125750E-1	7,058675E-1	-5,377510E-1	5,658254E-1	-2,862737E+0
2,906250E+2	2,173062E-1	7,005285E-1	-5,403273E-1	5,694059E-1	-2,831631E+0
2,921875E+2	2,150703E-1	7,005524E-1	-5,423616E-1	5,603344E-1	-2,826088E+0
2,937500E+2	2,172253E-1	6,980063E-1	-5,436560E-1	5,616512E-1	-2,811321E+0
2,953125E+2	2,213781E-1	6,947828E-1	-5,439658E-1	5,690131E-1	-2,796335E+0
2,968750E+2	2,217629E-1	6,908671E-1	-5,485798E-1	5,592970E-1	-2,767091E+0
2,984375E+2	2,243513E-1	6,891331E-1	-5,484017E-1	5,645724E-1	-2,760069E+0
3,000000E+2	2,265498E-1	6,864816E-1	-5,497210E-1	5,656859E-1	-2,745263E+0
3,015625E+2	2,266988E-1	6,847009E-1	-5,518023E-1	5,612755E-1	-2,732376E+0
3,031250E+2	2,277993E-1	6,827901E-1	-5,531711E-1	5,602261E-1	-2,720823E+0
3,046875E+2	2,276215E-1	6,812669E-1	-5,552062E-1	5,553848E-1	-2,709349E+0
3,062500E+2	2,305335E-1	6,770546E-1	-5,577307E-1	5,550245E-1	-2,685547E+0
3,078125E+2	2,331502E-1	6,743149E-1	-5,587031E-1	5,574823E-1	-2,671815E+0
3,093750E+2	2,333307E-1	6,727905E-1	-5,603768E-1	5,541137E-1	-2,661565E+0
3,109375E+2	2,362103E-1	6,693507E-1	-5,619247E-1	5,556734E-1	-2,643802E+0
3,125000E+2	2,391089E-1	6,667131E-1	-5,624809E-1	5,593649E-1	-2,631705E+0
3,140625E+2	2,372618E-1	6,655379E-1	-5,655065E-1	5,496466E-1	-2,620133E+0
3,156250E+2	2,398307E-1	6,619836E-1	-5,674038E-1	5,498155E-1	-2,601563E+0
3,171875E+2	2,431699E-1	6,597249E-1	-5,670918E-1	5,559691E-1	-2,593129E+0
3,187500E+2	2,449180E-1	6,576004E-1	-5,680173E-1	5,567822E-1	-2,582594E+0
3,203125E+2	2,441121E-1	6,558961E-1	-5,706910E-1	5,496835E-1	-2,570126E+0
3,218750E+2	2,449635E-1	6,527090E-1	-5,735917E-1	5,448252E-1	-2,551460E+0
3,234375E+2	2,479362E-1	6,502525E-1	-5,737904E-1	5,490675E-1	-2,541377E+0
3,250000E+2	2,508005E-1	6,468975E-1	-5,750853E-1	5,507203E-1	-2,525602E+0
3,265625E+2	2,501698E-1	6,456600E-1	-5,770212E-1	5,456143E-1	-2,516939E+0
3,281250E+2	2,529211E-1	6,423690E-1	-5,783087E-1	5,470446E-1	-2,501655E+0
3,296875E+2	2,547205E-1	6,390639E-1	-5,804110E-1	5,452628E-1	-2,484893E+0
3,312500E+2	2,556975E-1	6,389328E-1	-5,797132E-1	5,481930E-1	-2,485709E+0
3,328125E+2	2,574377E-1	6,349848E-1	-5,825433E-1	5,447347E-1	-2,465307E+0
3,343750E+2	2,576213E-1	6,333549E-1	-5,841577E-1	5,415979E-1	-2,456153E+0
3,359375E+2	2,612488E-1	6,293625E-1	-5,853665E-1	5,442388E-1	-2,438895E+0
3,375000E+2	2,619207E-1	6,276396E-1	-5,866411E-1	5,425034E-1	-2,430162E+0
3,390625E+2	2,630343E-1	6,259400E-1	-5,875073E-1	5,422429E-1	-2,422282E+0
3,406250E+2	2,659141E-1	6,231578E-1	-5,880138E-1	5,451626E-1	-2,411028E+0
3,421875E+2	2,657625E-1	6,205271E-1	-5,909176E-1	5,388717E-1	-2,396341E+0
3,437500E+2	2,695813E-1	6,169351E-1	-5,914472E-1	5,429103E-1	-2,382233E+0
3,453125E+2	2,706762E-1	6,153295E-1	-5,921937E-1	5,428019E-1	-2,375117E+0
3,468750E+2	2,732096E-1	6,126877E-1	-5,927935E-1	5,448772E-1	-2,364483E+0
3,484375E+2	2,752774E-1	6,086020E-1	-5,952531E-1	5,423987E-1	-2,345739E+0
3,500000E+2	2,742899E-1	6,080966E-1	-5,965975E-1	5,383334E-1	-2,341816E+0
3,515625E+2	2,774797E-1	6,046426E-1	-5,974342E-1	5,406484E-1	-2,328111E+0
3,531250E+2	2,799045E-1	6,030527E-1	-5,970116E-1	5,445719E-1	-2,323048E+0
3,546875E+2	2,816055E-1	5,996589E-1	-5,990022E-1	5,425123E-1	-2,307953E+0
3,562500E+2	2,808733E-1	5,983084E-1	-6,009607E-1	5,375464E-1	-2,300285E+0
3,578125E+2	2,831324E-1	5,946217E-1	-6,027376E-1	5,366174E-1	-2,284723E+0
3,593750E+2	2,843482E-1	5,928081E-1	-6,035150E-1	5,364701E-1	-2,277262E+0
3,609375E+2	2,863991E-1	5,892713E-1	-6,052770E-1	5,352672E-1	-2,262471E+0
3,625000E+2	2,877610E-1	5,878387E-1	-6,055449E-1	5,363058E-1	-2,257131E+0
3,640625E+2	2,895329E-1	5,855245E-1	-6,063235E-1	5,367505E-1	-2,248065E+0
3,656250E+2	2,894943E-1	5,837562E-1	-6,080579E-1	5,331452E-1	-2,239652E+0
3,671875E+2	2,915065E-1	5,805111E-1	-6,095083E-1	5,324600E-1	-2,226631E+0
3,687500E+2	2,940909E-1	5,780962E-1	-6,096835E-1	5,349862E-1	-2,218173E+0
3,703125E+2	2,925336E-1	5,765398E-1	-6,124281E-1	5,276706E-1	-2,209390E+0
3,718750E+2	2,972937E-1	5,734804E-1	-6,114136E-1	5,349456E-1	-2,200336E+0
3,734375E+2	2,985154E-1	5,714269E-1	-6,123364E-1	5,343697E-1	-2,192276E+0
3,750000E+2	3,005522E-1	5,671001E-1	-6,146912E-1	5,317179E-1	-2,174945E+0
3,765625E+2	3,009122E-1	5,668176E-1	-6,146590E-1	5,321617E-1	-2,174042E+0
3,781250E+2	3,018465E-1	5,631708E-1	-6,172456E-1	5,278773E-1	-2,158911E+0
3,796875E+2	3,048233E-1	5,615931E-1	-6,162710E-1	5,329166E-1	-2,154829E+0
3,812500E+2	3,061969E-1	5,583221E-1	-6,181258E-1	5,305244E-1	-2,141961E+0
3,828125E+2	3,063687E-1	5,564774E-1	-6,196484E-1	5,276065E-1	-2,134230E+0
3,843750E+2	3,065941E-1	5,552974E-1	-6,205245E-1	5,260608E-1	-2,129419E+0
3,859375E+2	3,083284E-1	5,520384E-1	-6,220331E-1	5,247296E-1	-2,117218E+0
3,875000E+2	3,118386E-1	5,493637E-1	-6,215794E-1	5,290475E-1	-2,109072E+0
3,890625E+2	3,145400E-1	5,458638E-1	-6,224891E-1	5,297674E-1	-2,096868E+0
3,906250E+2	3,155301E-1	5,450752E-1	-6,223849E-1	5,309099E-1	-2,094445E+0
3,921875E+2	3,149918E-1	5,424318E-1	-6,251207E-1	5,248598E-1	-2,083234E+0
3,937500E+2	3,174331E-1	5,396287E-1	-6,255940E-1	5,261529E-1	-2,073874E+0
3,953125E+2	3,185851E-1	5,373283E-1	-6,266524E-1	5,250610E-1	-2,065575E+0
3,968750E+2	3,207775E-1	5,351506E-1	-6,267666E-1	5,267962E-1	-2,058613E+0
3,984375E+2	3,242926E-1	5,314112E-1	-6,271439E-1	5,291248E-1	-2,046531E+0
4,000000E+2	3,239955E-1	5,296967E-1	-6,288290E-1	5,254454E-1	-2,039629E+0
4,015625E+2	3,261150E-1	5,278720E-1	-6,286781E-1	5,275737E-1	-2,034093E+0
4,031250E+2	3,275403E-1	5,257800E-1	-6,292973E-1	5,275253E-1	-2,027050E+0
4,046875E+2	3,281075E-1	5,232013E-1	-6,309936E-1	5,245609E-1	-2,017598E+0
4,062500E+2	3,290267E-1	5,209291E-1	-6,321441E-1	5,229991E-1	-2,009629E+0
4,078125E+2	3,298119E-1	5,195835E-1	-6,326303E-1	5,226637E-1	-2,005100E+0
4,093750E+2	3,322148E-1	5,158678E-1	-6,337710E-1	5,223095E-1	-1,992835E+0
4,109375E+2	3,343464E-1	5,136653E-1	-6,338782E-1	5,237888E-1	-1,986074E+0
4,125000E+2	3,346381E-1	5,114126E-1	-6,354676E-1	5,208077E-1	-1,977996E+0
4,140625E+2	3,367609E-1	5,100608E-1	-6,348835E-1	5,236382E-1	-1,974393E+0
4,156250E+2	3,385433E-1	5,069710E-1	-6,359537E-1	5,228349E-1	-1,964291E+0
4,171875E+2	3,384129E-1	5,048819E-1	-6,377157E-1	5,191790E-1	-1,956714E+0
4,187500E+2	3,394113E-1	5,034725E-1	-6,380471E-1	5,192604E-1	-1,952278E+0
4,203125E+2	3,413460E-1	4,996183E-1	-6,395589E-1	5,176477E-1	-1,939769E+0
4,218750E+2	3,429254E-1	4,987079E-1	-6,390344E-1	5,198527E-1	-1,937470E+0
4,234375E+2	3,449949E-1	4,958678E-1	-6,396251E-1	5,201428E-1	-1,928703E+0
4,250000E+2	3,455287E-1	4,935985E-1	-6,409617E-1	5,178210E-1	-1,921134E+0
4,265625E+2	3,480510E-1	4,911178E-1	-6,408996E-1	5,197015E-1	-1,913952E+0
4,281250E+2	3,478188E-1	4,885671E-1	-6,430267E-1	5,152513E-1	-1,905132E+0
4,296875E+2	3,488983E-1	4,869948E-1	-6,433800E-1	5,152740E-1	-1,900365E+0
